Fecha,Categoría,Ventas,Cantidad,Región,Mes
2024-05-26,Juguetes,10138,40,Sur,2024-05
2024-05-27,Hogar,403574,50,Sur,2024-05
2024-05-28,Ropa,129619,43,Centro,2024-05
2024-05-29,Juguetes,478466,75,Sur,2024-05
2024-05-30,Electrónica,357520,67,Norte,2024-05
2024-05-31,Electrónica,109931,12,Norte,2024-05
2024-06-01,Electrónica,433870,67,Centro,2024-06
2024-06-02,Electrónica,166951,27,Norte,2024-06
2024-06-03,Hogar,353676,54,Norte,2024-06
2024-06-04,Electrónica,327922,66,Norte,2024-06
2024-06-05,Juguetes,47772,49,Norte,2024-06
2024-06-06,Deportes,68478,16,Sur,2024-06
2024-06-07,Electrónica,467569,2,Norte,2024-06
2024-06-08,Hogar,36762,60,Centro,2024-06
2024-06-09,Hogar,154355,54,Centro,2024-06
2024-06-10,Electrónica,204994,30,Norte,2024-06
2024-06-11,Deportes,180492,84,Centro,2024-06
2024-06-12,Electrónica,327712,38,Norte,2024-06
2024-06-13,Hogar,357234,28,Centro,2024-06
2024-06-14,Ropa,292363,25,Centro,2024-06
2024-06-15,Juguetes,329313,96,Norte,2024-06
2024-06-16,Hogar,84965,10,Norte,2024-06
2024-06-17,Electrónica,187912,60,Sur,2024-06
2024-06-18,Juguetes,185767,42,Norte,2024-06
2024-06-19,Electrónica,246281,40,Norte,2024-06
2024-06-20,Electrónica,94754,97,Sur,2024-06
2024-06-21,Ropa,87988,77,Norte,2024-06
2024-06-22,Juguetes,461558,42,Norte,2024-06
2024-06-23,Juguetes,160023,47,Sur,2024-06
2024-06-24,Ropa,142379,37,Norte,2024-06
2024-06-25,Hogar,90388,80,Norte,2024-06
2024-06-26,Electrónica,362912,22,Sur,2024-06
2024-06-27,Deportes,307572,57,Sur,2024-06
2024-06-28,Electrónica,249779,84,Centro,2024-06
2024-06-29,Electrónica,364165,27,Norte,2024-06
2024-06-30,Hogar,390562,41,Centro,2024-06
2024-07-01,Electrónica,216846,80,Centro,2024-07
2024-07-02,Ropa,180047,34,Sur,2024-07
2024-07-03,Ropa,142212,32,Norte,2024-07
2024-07-04,Juguetes,428058,90,Norte,2024-07
2024-07-05,Deportes,298565,89,Sur,2024-07
2024-07-06,Electrónica,273852,66,Centro,2024-07
2024-07-07,Electrónica,406846,12,Sur,2024-07
2024-07-08,Hogar,422811,40,Norte,2024-07
2024-07-09,Ropa,86021,73,Sur,2024-07
2024-07-10,Deportes,169380,76,Norte,2024-07
2024-07-11,Juguetes,54789,90,Centro,2024-07
2024-07-12,Ropa,458906,73,Norte,2024-07
2024-07-13,Juguetes,36086,10,Centro,2024-07
2024-07-14,Hogar,289003,96,Centro,2024-07
2024-07-15,Hogar,17684,98,Norte,2024-07
2024-07-16,Electrónica,101088,48,Norte,2024-07
2024-07-17,Deportes,404423,20,Centro,2024-07
2024-07-18,Juguetes,56099,39,Sur,2024-07
2024-07-19,Ropa,470712,60,Norte,2024-07
2024-07-20,Hogar,76093,66,Centro,2024-07
2024-07-21,Electrónica,170761,65,Centro,2024-07
2024-07-22,Electrónica,320795,51,Sur,2024-07
2024-07-23,Juguetes,23893,36,Norte,2024-07
2024-07-24,Hogar,76418,24,Centro,2024-07
2024-07-25,Deportes,135074,27,Sur,2024-07
2024-07-26,Hogar,375209,2,Centro,2024-07
2024-07-27,Juguetes,140351,31,Norte,2024-07
2024-07-28,Juguetes,201083,57,Sur,2024-07
2024-07-29,Hogar,48635,78,Centro,2024-07
2024-07-30,Juguetes,459331,66,Sur,2024-07
2024-07-31,Hogar,105071,29,Norte,2024-07
2024-08-01,Ropa,481621,15,Sur,2024-08
2024-08-02,Hogar,475918,12,Norte,2024-08
2024-08-03,Hogar,350662,28,Centro,2024-08
2024-08-04,Juguetes,378377,84,Norte,2024-08
2024-08-05,Juguetes,375795,24,Centro,2024-08
2024-08-06,Electrónica,82805,21,Centro,2024-08
2024-08-07,Electrónica,462170,10,Norte,2024-08
2024-08-08,Ropa,431280,78,Centro,2024-08
2024-08-09,Electrónica,394957,18,Sur,2024-08
2024-08-10,Hogar,351207,88,Centro,2024-08
2024-08-11,Juguetes,274598,14,Norte,2024-08
2024-08-12,Electrónica,293022,34,Sur,2024-08
2024-08-13,Electrónica,192170,58,Sur,2024-08
2024-08-14,Ropa,203226,76,Centro,2024-08
2024-08-15,Ropa,154063,22,Centro,2024-08
2024-08-16,Hogar,78344,70,Norte,2024-08
2024-08-17,Juguetes,377090,36,Sur,2024-08
2024-08-18,Ropa,46593,45,Norte,2024-08
2024-08-19,Electrónica,46304,36,Centro,2024-08
2024-08-20,Juguetes,433602,22,Sur,2024-08
2024-08-21,Juguetes,196292,78,Norte,2024-08
2024-08-22,Electrónica,123613,80,Norte,2024-08
2024-08-23,Ropa,210410,61,Norte,2024-08
2024-08-24,Electrónica,497505,56,Norte,2024-08
2024-08-25,Juguetes,424299,89,Norte,2024-08
2024-08-26,Deportes,28354,96,Sur,2024-08
2024-08-27,Deportes,294334,33,Norte,2024-08
2024-08-28,Hogar,16142,45,Sur,2024-08
2024-08-29,Electrónica,431614,36,Norte,2024-08
2024-08-30,Electrónica,193043,20,Centro,2024-08
2024-08-31,Hogar,314006,18,Centro,2024-08
2024-09-01,Hogar,194482,38,Norte,2024-09
2024-09-02,Hogar,160575,67,Centro,2024-09
2024-09-03,Juguetes,135438,23,Sur,2024-09
2024-09-04,Electrónica,58456,96,Norte,2024-09
2024-09-05,Juguetes,110167,16,Sur,2024-09
2024-09-06,Hogar,354179,59,Norte,2024-09
2024-09-07,Electrónica,280160,69,Centro,2024-09
2024-09-08,Juguetes,274528,68,Sur,2024-09
2024-09-09,Juguetes,203392,21,Centro,2024-09
2024-09-10,Hogar,418288,78,Centro,2024-09
2024-09-11,Electrónica,112239,95,Norte,2024-09
2024-09-12,Hogar,121431,78,Sur,2024-09
2024-09-13,Electrónica,352162,70,Centro,2024-09
2024-09-14,Deportes,50510,12,Norte,2024-09
2024-09-15,Ropa,190005,16,Norte,2024-09
2024-09-16,Ropa,293970,81,Norte,2024-09
2024-09-17,Ropa,340170,87,Centro,2024-09
2024-09-18,Hogar,131668,14,Norte,2024-09
2024-09-19,Deportes,252700,61,Sur,2024-09
2024-09-20,Electrónica,428734,71,Sur,2024-09
2024-09-21,Juguetes,34045,46,Centro,2024-09
2024-09-22,Electrónica,191948,32,Sur,2024-09
2024-09-23,Juguetes,495662,15,Norte,2024-09
2024-09-24,Electrónica,100102,44,Centro,2024-09
2024-09-25,Deportes,324063,17,Norte,2024-09
2024-09-26,Juguetes,109441,41,Centro,2024-09
2024-09-27,Hogar,168175,54,Centro,2024-09
2024-09-28,Electrónica,259877,44,Norte,2024-09
2024-09-29,Electrónica,439404,98,Sur,2024-09
2024-09-30,Juguetes,146917,5,Sur,2024-09
2024-10-01,Hogar,227770,27,Centro,2024-10
2024-10-02,Hogar,439890,87,Norte,2024-10
2024-10-03,Deportes,128325,78,Norte,2024-10
2024-10-04,Hogar,29337,79,Centro,2024-10
2024-10-05,Hogar,163385,43,Sur,2024-10
2024-10-06,Hogar,430159,97,Norte,2024-10
2024-10-07,Ropa,350093,31,Sur,2024-10
2024-10-08,Deportes,272420,99,Sur,2024-10
2024-10-09,Electrónica,323295,17,Centro,2024-10
2024-10-10,Juguetes,420827,92,Centro,2024-10
2024-10-11,Electrónica,153016,83,Sur,2024-10
2024-10-12,Deportes,325031,54,Norte,2024-10
2024-10-13,Juguetes,91442,62,Norte,2024-10
2024-10-14,Deportes,59847,87,Centro,2024-10
2024-10-15,Hogar,68653,32,Sur,2024-10
2024-10-16,Juguetes,227144,40,Norte,2024-10
2024-10-17,Hogar,263661,13,Norte,2024-10
2024-10-18,Electrónica,328766,84,Centro,2024-10
2024-10-19,Electrónica,299954,35,Sur,2024-10
2024-10-20,Juguetes,87842,5,Norte,2024-10
2024-10-21,Juguetes,394369,73,Centro,2024-10
2024-10-22,Deportes,282647,29,Norte,2024-10
2024-10-23,Deportes,94761,70,Norte,2024-10
2024-10-24,Hogar,440192,25,Norte,2024-10
2024-10-25,Juguetes,398583,95,Centro,2024-10
2024-10-26,Electrónica,283734,22,Sur,2024-10
2024-10-27,Deportes,151958,66,Centro,2024-10
2024-10-28,Deportes,416082,45,Sur,2024-10
2024-10-29,Electrónica,338768,69,Norte,2024-10
2024-10-30,Deportes,472115,91,Sur,2024-10
2024-10-31,Hogar,173864,89,Norte,2024-10
2024-11-01,Juguetes,412980,72,Norte,2024-11
2024-11-02,Electrónica,266910,1,Centro,2024-11
2024-11-03,Juguetes,130356,84,Norte,2024-11
2024-11-04,Deportes,227228,44,Centro,2024-11
2024-11-05,Deportes,52727,87,Sur,2024-11
2024-11-06,Electrónica,350615,96,Sur,2024-11
2024-11-07,Hogar,18068,75,Norte,2024-11
2024-11-08,Ropa,126923,39,Centro,2024-11
2024-11-09,Electrónica,410511,54,Norte,2024-11
2024-11-10,Ropa,444376,88,Centro,2024-11
2024-11-11,Ropa,21390,75,Centro,2024-11
2024-11-12,Hogar,116752,29,Centro,2024-11
2024-11-13,Ropa,423347,54,Sur,2024-11
2024-11-14,Ropa,366898,90,Centro,2024-11
2024-11-15,Hogar,348113,16,Sur,2024-11
2024-11-16,Ropa,156110,99,Centro,2024-11
2024-11-17,Ropa,455543,20,Sur,2024-11
2024-11-18,Ropa,234790,46,Sur,2024-11
2024-11-19,Electrónica,349208,67,Sur,2024-11
2024-11-20,Electrónica,31281,65,Norte,2024-11
2024-11-21,Electrónica,64189,58,Centro,2024-11
2024-11-22,Hogar,272093,53,Norte,2024-11
2024-11-23,Deportes,320655,1,Centro,2024-11
2024-11-24,Ropa,132115,81,Centro,2024-11
2024-11-25,Ropa,18605,66,Norte,2024-11
2024-11-26,Hogar,372462,29,Sur,2024-11
2024-11-27,Ropa,404597,84,Centro,2024-11
2024-11-28,Electrónica,469850,70,Sur,2024-11
2024-11-29,Deportes,291954,8,Norte,2024-11
2024-11-30,Juguetes,259415,29,Sur,2024-11
2024-12-01,Ropa,165394,51,Centro,2024-12
2024-12-02,Electrónica,51869,33,Centro,2024-12
2024-12-03,Juguetes,42955,3,Centro,2024-12
2024-12-04,Deportes,71388,60,Norte,2024-12
2024-12-05,Juguetes,251324,35,Centro,2024-12
2024-12-06,Electrónica,20207,69,Norte,2024-12
2024-12-07,Juguetes,228401,91,Sur,2024-12
2024-12-08,Hogar,470844,76,Centro,2024-12
2024-12-09,Juguetes,169292,84,Centro,2024-12
2024-12-10,Ropa,487266,20,Centro,2024-12
2024-12-11,Ropa,215157,73,Sur,2024-12
2024-12-12,Hogar,32031,39,Centro,2024-12
2024-12-13,Electrónica,473937,4,Norte,2024-12
2024-12-14,Ropa,352951,19,Sur,2024-12
2024-12-15,Deportes,81312,91,Sur,2024-12
2024-12-16,Ropa,69766,45,Sur,2024-12
2024-12-17,Ropa,153521,43,Sur,2024-12
2024-12-18,Electrónica,361977,13,Sur,2024-12
2024-12-19,Juguetes,197771,13,Norte,2024-12
2024-12-20,Ropa,247199,60,Sur,2024-12
2024-12-21,Hogar,484469,57,Centro,2024-12
2024-12-22,Juguetes,246731,86,Sur,2024-12
2024-12-23,Deportes,245841,92,Sur,2024-12
2024-12-24,Electrónica,121041,52,Sur,2024-12
2024-12-25,Deportes,126185,53,Sur,2024-12
2024-12-26,Juguetes,187164,86,Sur,2024-12
2024-12-27,Juguetes,466887,43,Norte,2024-12
2024-12-28,Juguetes,20350,83,Norte,2024-12
2024-12-29,Deportes,237230,72,Sur,2024-12
2024-12-30,Juguetes,373003,72,Norte,2024-12
2024-12-31,Deportes,271570,42,Centro,2024-12
2025-01-01,Juguetes,78487,90,Sur,2025-01
2025-01-02,Hogar,158694,26,Centro,2025-01
2025-01-03,Juguetes,133853,23,Centro,2025-01
2025-01-04,Deportes,473479,43,Sur,2025-01
2025-01-05,Ropa,325261,77,Centro,2025-01
2025-01-06,Juguetes,245062,28,Centro,2025-01
2025-01-07,Ropa,461610,9,Centro,2025-01
2025-01-08,Hogar,243077,20,Sur,2025-01
2025-01-09,Electrónica,373228,56,Sur,2025-01
2025-01-10,Hogar,33782,83,Centro,2025-01
2025-01-11,Juguetes,300598,39,Sur,2025-01
2025-01-12,Ropa,340048,51,Sur,2025-01
2025-01-13,Ropa,139936,12,Centro,2025-01
2025-01-14,Deportes,418808,79,Sur,2025-01
2025-01-15,Ropa,163245,95,Norte,2025-01
2025-01-16,Deportes,436420,55,Sur,2025-01
2025-01-17,Electrónica,438812,78,Norte,2025-01
2025-01-18,Juguetes,437540,11,Centro,2025-01
2025-01-19,Deportes,132258,26,Sur,2025-01
2025-01-20,Electrónica,121668,42,Centro,2025-01
2025-01-21,Ropa,464418,27,Centro,2025-01
2025-01-22,Ropa,492616,11,Centro,2025-01
2025-01-23,Electrónica,396328,38,Centro,2025-01
2025-01-24,Ropa,433966,98,Centro,2025-01
2025-01-25,Electrónica,479328,43,Sur,2025-01
2025-01-26,Deportes,288710,19,Norte,2025-01
2025-01-27,Deportes,148262,64,Sur,2025-01
2025-01-28,Electrónica,491823,6,Sur,2025-01
2025-01-29,Deportes,48333,46,Sur,2025-01
2025-01-30,Deportes,394073,42,Sur,2025-01
2025-01-31,Deportes,221977,92,Norte,2025-01
2025-02-01,Hogar,99571,65,Sur,2025-02
2025-02-02,Juguetes,130263,99,Centro,2025-02
2025-02-03,Ropa,404805,72,Sur,2025-02
2025-02-04,Hogar,35235,59,Sur,2025-02
2025-02-05,Deportes,10159,52,Norte,2025-02
2025-02-06,Electrónica,153217,47,Norte,2025-02
2025-02-07,Deportes,484125,7,Centro,2025-02
2025-02-08,Juguetes,172993,11,Sur,2025-02
2025-02-09,Deportes,377003,61,Sur,2025-02
2025-02-10,Electrónica,157309,68,Sur,2025-02
2025-02-11,Juguetes,117507,25,Centro,2025-02
2025-02-12,Deportes,411460,12,Norte,2025-02
2025-02-13,Juguetes,24743,26,Centro,2025-02
2025-02-14,Ropa,238174,12,Sur,2025-02
2025-02-15,Ropa,56101,43,Norte,2025-02
2025-02-16,Deportes,252717,51,Norte,2025-02
2025-02-17,Juguetes,131534,37,Centro,2025-02
2025-02-18,Electrónica,356371,46,Norte,2025-02
2025-02-19,Deportes,240604,53,Norte,2025-02
2025-02-20,Ropa,197450,88,Sur,2025-02
2025-02-21,Ropa,343270,80,Sur,2025-02
2025-02-22,Deportes,328215,13,Norte,2025-02
2025-02-23,Juguetes,212193,89,Norte,2025-02
2025-02-24,Ropa,346907,54,Centro,2025-02
2025-02-25,Juguetes,497030,57,Centro,2025-02
2025-02-26,Ropa,245422,4,Norte,2025-02
2025-02-27,Ropa,415453,75,Sur,2025-02
2025-02-28,Hogar,156721,96,Norte,2025-02
2025-03-01,Ropa,178785,49,Norte,2025-03
2025-03-02,Electrónica,214535,7,Sur,2025-03
2025-03-03,Deportes,186481,11,Sur,2025-03
2025-03-04,Deportes,189838,92,Centro,2025-03
2025-03-05,Juguetes,56154,54,Centro,2025-03
2025-03-06,Ropa,279160,87,Centro,2025-03
2025-03-07,Electrónica,482779,45,Centro,2025-03
2025-03-08,Juguetes,451904,23,Sur,2025-03
2025-03-09,Hogar,361822,28,Norte,2025-03
2025-03-10,Juguetes,384200,57,Centro,2025-03
2025-03-11,Juguetes,64238,26,Centro,2025-03
2025-03-12,Ropa,330752,25,Sur,2025-03
2025-03-13,Hogar,99081,54,Sur,2025-03
2025-03-14,Juguetes,257644,29,Norte,2025-03
2025-03-15,Electrónica,435113,83,Norte,2025-03
2025-03-16,Electrónica,323105,97,Sur,2025-03
2025-03-17,Deportes,209775,36,Centro,2025-03
2025-03-18,Hogar,447973,14,Centro,2025-03
2025-03-19,Hogar,299061,78,Centro,2025-03
2025-03-20,Deportes,425952,35,Norte,2025-03
2025-03-21,Juguetes,300134,30,Centro,2025-03
2025-03-22,Hogar,72551,92,Centro,2025-03
2025-03-23,Electrónica,461377,17,Sur,2025-03
2025-03-24,Electrónica,220695,67,Centro,2025-03
2025-03-25,Ropa,163512,80,Sur,2025-03
2025-03-26,Hogar,176277,30,Centro,2025-03
2025-03-27,Juguetes,90811,93,Norte,2025-03
2025-03-28,Deportes,264840,45,Centro,2025-03
2025-03-29,Deportes,327247,79,Centro,2025-03
2025-03-30,Juguetes,474028,89,Sur,2025-03
2025-03-31,Ropa,444843,51,Sur,2025-03
2025-04-01,Deportes,378266,47,Sur,2025-04
2025-04-02,Hogar,244104,53,Centro,2025-04
2025-04-03,Ropa,29008,64,Centro,2025-04
2025-04-04,Hogar,212346,38,Norte,2025-04
2025-04-05,Electrónica,42402,64,Centro,2025-04
2025-04-06,Ropa,194456,87,Norte,2025-04
2025-04-07,Deportes,269994,89,Sur,2025-04
2025-04-08,Ropa,409009,7,Sur,2025-04
2025-04-09,Ropa,146643,22,Sur,2025-04
2025-04-10,Ropa,419425,81,Norte,2025-04
2025-04-11,Ropa,123550,82,Centro,2025-04
2025-04-12,Hogar,494146,41,Sur,2025-04
2025-04-13,Electrónica,446364,74,Centro,2025-04
2025-04-14,Juguetes,101218,10,Centro,2025-04
2025-04-15,Ropa,143296,57,Sur,2025-04
2025-04-16,Deportes,189767,7,Norte,2025-04
2025-04-17,Ropa,392923,50,Centro,2025-04
2025-04-18,Deportes,401858,91,Sur,2025-04
2025-04-19,Hogar,251060,52,Centro,2025-04
2025-04-20,Deportes,250016,33,Centro,2025-04
2025-04-21,Juguetes,42441,1,Centro,2025-04
2025-04-22,Electrónica,248038,53,Centro,2025-04
2025-04-23,Deportes,180201,60,Centro,2025-04
2025-04-24,Deportes,241324,34,Norte,2025-04
2025-04-25,Electrónica,334512,4,Norte,2025-04
2025-04-26,Juguetes,102122,17,Sur,2025-04
2025-04-27,Ropa,54760,4,Norte,2025-04
2025-04-28,Deportes,295622,43,Norte,2025-04
2025-04-29,Electrónica,400025,90,Norte,2025-04
2025-04-30,Hogar,343998,4,Centro,2025-04
2025-05-01,Electrónica,366374,1,Centro,2025-05
2025-05-02,Hogar,357860,71,Sur,2025-05
2025-05-03,Juguetes,153252,94,Sur,2025-05
2025-05-04,Ropa,108538,50,Sur,2025-05
2025-05-05,Electrónica,25372,73,Centro,2025-05
2025-05-06,Deportes,301940,61,Norte,2025-05
2025-05-07,Juguetes,461488,35,Norte,2025-05
2025-05-08,Electrónica,231035,8,Centro,2025-05
2025-05-09,Deportes,370970,24,Sur,2025-05
2025-05-10,Electrónica,392736,83,Sur,2025-05
2025-05-11,Hogar,365779,36,Sur,2025-05
2025-05-12,Electrónica,121022,50,Centro,2025-05
2025-05-13,Electrónica,64040,43,Sur,2025-05
2025-05-14,Electrónica,347501,27,Sur,2025-05
2025-05-15,Juguetes,212440,32,Centro,2025-05
2025-05-16,Electrónica,88356,78,Norte,2025-05
2025-05-17,Deportes,288355,18,Centro,2025-05
2025-05-18,Hogar,377570,28,Centro,2025-05
2025-05-19,Hogar,277986,29,Centro,2025-05
2025-05-20,Electrónica,466331,16,Centro,2025-05
2025-05-21,Juguetes,338996,99,Norte,2025-05
2025-05-22,Juguetes,397881,47,Sur,2025-05
2025-05-23,Deportes,318112,59,Centro,2025-05
2025-05-24,Electrónica,289652,31,Norte,2025-05
2025-05-25,Hogar,163077,4,Sur,2025-05
2025-05-26,Juguetes,64575,37,Sur,2025-05
2025-05-27,Electrónica,483958,17,Sur,2025-05
2025-05-28,Juguetes,160043,39,Centro,2025-05
2025-05-29,Juguetes,428815,48,Centro,2025-05
2025-05-30,Hogar,490808,46,Sur,2025-05
2025-05-31,Ropa,76914,90,Sur,2025-05
2025-06-01,Deportes,259134,48,Sur,2025-06
2025-06-02,Deportes,77055,39,Sur,2025-06
2025-06-03,Hogar,97697,4,Sur,2025-06
2025-06-04,Juguetes,116239,30,Sur,2025-06
2025-06-05,Electrónica,245469,30,Norte,2025-06
2025-06-06,Juguetes,133106,22,Sur,2025-06
2025-06-07,Hogar,277499,75,Centro,2025-06
2025-06-08,Deportes,326264,66,Centro,2025-06
2025-06-09,Juguetes,477835,12,Centro,2025-06
2025-06-10,Deportes,310486,94,Sur,2025-06
